City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
94,el matama,SD,2024-05-09,16.7095,33.3565,54,11,82.00399999999996,4.09
95,puerto natales,CL,2024-05-09,-51.7236,-72.4875,53,95,28.688000000000045,1.49
96,chonchi,CL,2024-05-09,-42.6128,-73.8092,28,96,44.07799999999996,0.88
97,thunder bay,CA,2024-05-09,48.4001,-89.3168,0,65,44.851999999999975,1.54
98,ancud,CL,2024-05-09,-41.8697,-73.8203,84,79,48.434,3.01
99,sabang,ID,2024-05-09,5.8933,95.3214,31,71,84.77599999999998,0.5
100,bafoulabe,ML,2024-05-09,13.8065,-10.8321,100,36,94.892,3.1
101,sitka,US,2024-05-09,57.0531,-135.33,100,81,50.161999999999956,8.75
102,petropavlovsk-kamchatsky,RU,2024-05-09,53.0452,158.6483,75,66,47.26400000000003,10
103,seven pagodas,IN,2024-05-09,12.6264,80.1722,61,66,89.924,4.21
104,ust-nera,RU,2024-05-09,64.5667,143.2,100,71,41.719999999999956,1.71
105,vingt cinq,,,,,,,,
106,metlili chaamba,DZ,2024-05-09,32.2667,3.6333,0,30,65.60600000000002,1.03
107,iqaluit,CA,2024-05-09,63.7506,-68.5145,100,80,28.4,4.12
108,puerto ayora,EC,2024-05-09,-0.7393,-90.3518,60,98,73.81400000000004,2.28
109,qaqortoq,GL,2024-05-09,60.7167,-46.0333,100,75,34.25,0.73
110,naze,JP,2024-05-09,28.3667,129.4833,100,52,72.78800000000004,4.36
111,palikir - national government center,FM,2024-05-09,6.9248,158.1611,100,74,87.11600000000001,4.12
112,chilca,PE,2024-05-09,-12.5211,-76.7372,35,90,64.99399999999997,2.83
113,ryl'sk,RU,2024-05-09,51.5655,34.6822,82,63,36.30199999999998,3
114,kingston,JM,2024-05-09,17.997,-76.7936,20,74,85.424,5.66
115,taoudenni,ML,2024-05-09,22.6783,-3.9836,49,6,90.66199999999995,4.72
116,hadibu,YE,2024-05-09,12.65,54.0333,80,72,83.22799999999997,0.32
117,islamkot,PK,2024-05-09,24.6997,70.177,0,51,87.44000000000003,5.45
118,bargara,,,,,,,,
119,port augusta,AU,2024-05-09,-32.5,137.7667,0,33,70.75399999999996,4.97
120,acarau,BR,2024-05-09,-2.8856,-40.12,100,88,78.98000000000005,3.59
121,ak-suu,KG,2024-05-09,42.4995,78.527,1,27,71.38399999999999,0.54
122,enewetak,MH,2024-05-09,11.3474,162.3373,100,75,81.93200000000002,8.52
123,cao bang,VN,2024-05-09,22.6667,106.25,91,70,82.976,3.26
124,klyuchi,RU,2024-05-09,52.2667,79.1667,100,48,67.92799999999997,4.94
125,ilulissat,GL,2024-05-09,69.2167,-51.1,71,79,19.688000000000045,0
126,thompson,CA,2024-05-09,55.7435,-97.8558,75,93,50.432000000000016,2.06
127,ola,RU,2024-05-09,59.5833,151.2833,40,79,39.41600000000001,3.22
128,la serena,CL,2024-05-09,-29.9078,-71.2542,100,87,55.184,3.6
129,hantsavichy,BY,2024-05-09,52.758,26.43,31,87,43.141999999999996,2.98
130,ishtixon shahri,,,,,,,,
131,tyuratam,KZ,2024-05-09,45.6507,63.3156,100,36,59.684,7.38
132,kangiwa,NG,2024-05-09,12.5521,3.8187,81,47,89.56400000000004,4.21
133,saipan,MP,2024-05-09,15.1355,145.701,40,62,92.37200000000004,6.17
134,verkhnevilyuysk,RU,2024-05-09,63.4453,120.3167,100,45,32.70199999999998,3.71
135,stanley,GB,2024-05-09,54.868,-1.6985,0,93,52.05199999999998,1.54
136,abraham's bay,,,,,,,,
137,vorgashor,RU,2024-05-09,67.5833,63.95,100,74,28.075999999999986,8.62
138,constantia,RO,2024-05-09,44.1833,28.65,20,82,50.97200000000004,5.78
139,aegina,GR,2024-05-09,37.7467,23.4275,100,76,67.45999999999998,7.16
140,nuuk,GL,2024-05-09,64.1835,-51.7216,40,93,32.88200000000002,4.63
141,kalashnikovo,RU,2024-05-09,57.2824,35.2262,100,70,31.658000000000005,2.48
142,polyarnyy,RU,2024-05-09,69.1989,33.4478,100,85,30.55999999999998,6.07
143,aykhal,RU,2024-05-09,66,111.5,100,82,19.52599999999999,6.23
144,brisas de zicatela,MX,2024-05-09,15.8369,-97.0419,0,89,79.592,1.54
145,port alfred,ZA,2024-05-09,-33.5906,26.891,23,98,58.44199999999999,0.81
146,krasnyy yar,RU,2024-05-09,46.5331,48.3456,100,32,51.998000000000026,4.57
147,qarauyl,KZ,2024-05-09,48.9451,79.255,95,21,76.74800000000002,2.39
148,'ohonua,,,,,,,,
149,fort liberte,HT,2024-05-09,19.6678,-71.8397,100,83,78.51199999999996,1.88
150,pontes e lacerda,BR,2024-05-09,-15.2261,-59.3353,0,67,72.71600000000001,0.77
151,saint-pierre-d'oleron,,,,,,,,
152,port glaud,,,,,,,,
153,mao,ES,2024-05-09,39.8885,4.2658,0,94,56.227999999999966,3.09
154,bairnsdale,AU,2024-05-09,-37.8333,147.6167,60,73,66.326,0.89
155,sao francisco,BR,2024-05-09,-15.9486,-44.8644,0,66,67.69399999999997,0.68
156,port mathurin,MU,2024-05-09,-19.6833,63.4167,100,72,77.99000000000002,11.2
157,sorsk,RU,2024-05-09,54.0033,90.2467,100,39,54.98599999999997,4.09
158,marquette,US,2024-05-09,46.5333,-87.6335,0,77,41.035999999999966,1.5
159,alpu,TR,2024-05-09,39.769,30.9606,93,93,50.54000000000002,1.75
